Date,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,TCS.NS
22-03-2021,695.7716064,554.633667,1206.743164,1328.567017,935.1566162,2801.216797
23-03-2021,710.4527588,567.1588745,1207.403442,1332.647461,946.5377808,2812.808105
24-03-2021,700.3417358,548.8789673,1191.733521,1299.244629,928.3098145,2793.564453
25-03-2021,693.0247192,552.7960205,1174.171265,1301.094971,902.9856567,2743.217529
26-03-2021,706.2615356,559.5664063,1176.283813,1326.90625,904.4366455,2744.963379
30-03-2021,735.8133545,572.0431519,1219.507813,1350.867188,920.1480713,2827.083984
31-03-2021,707.3744507,562.9998169,1204.322266,1346.454468,908.2680664,2844.358887
01-04-2021,704.1066895,574.8963623,1219.419678,1370.842163,916.7700195,2832.857422
05-04-2021,686.5129395,552.5059204,1241.16394,1332.125488,903.5072021,2899.001709
06-04-2021,682.0848999,547.3314209,1242.176025,1329.468384,899.7436523,2922.094238
07-04-2021,685.3762817,558.6959229,1259.033936,1332.45752,908.1548462,2928.091309
08-04-2021,678.5567017,557.7770386,1267.529053,1346.691528,909.2883911,2969.219482
09-04-2021,673.3234863,547.6216431,1268.585449,1332.410034,898.7234497,2973.605225
12-04-2021,647.4182129,520.8787842,1255.116699,1276.469971,866.5751343,2905.849609
13-04-2021,663.1887207,542.2053223,1229.939575,1303.562134,875.9384766,2778.303467
15-04-2021,677.2778931,556.326355,1197.895874,1304.463745,881.6063843,2881.145752
16-04-2021,676.5912476,548.3469849,1191.733521,1289.755249,876.0745239,2859.843262
19-04-2021,668.8954468,541.3831787,1199.480591,1243.541504,862.2902222,2829.993652
20-04-2021,658.9501343,540.7545166,1189.62085,1263.516968,862.0408325,2814.553467
22-04-2021,673.6786499,560.1950684,1189.400757,1268.546143,864.4213867,2791.506104
23-04-2021,669.7242432,551.2485352,1174.171265,1255.355957,863.4918213,2783.181641
26-04-2021,665.2961426,571.7045288,1182.754272,1267.692017,878.6817627,2775.394775
27-04-2021,681.3508301,579.1035767,1187.111938,1310.157349,901.7160645,2803.320557
28-04-2021,699.3945313,600.9619141,1193.714478,1305.649902,905.6382446,2796.249512
29-04-2021,697.3579712,601.0587158,1194.022339,1289.28064,917.7675781,2788.328369
30-04-2021,668.8481445,580.7962036,1192.261841,1272.009888,904.3687134,2717.081787
03-05-2021,669.8662109,577.1691895,1190.237061,1273.955322,888.2944946,2718.289551
04-05-2021,657.5056152,572.1398315,1170.297607,1269.30542,869.0462646,2729.701904
05-05-2021,664.2542725,583.0205688,1180.949707,1270.30188,870.6333618,2770.830078
06-05-2021,663.4492188,588.2435303,1198.644165,1271.488037,875.5756836,2784.927246
07-05-2021,670.0083008,587.1795044,1190.677368,1274.14502,875.9158325,2804.126465
10-05-2021,672.4237061,593.1277466,1179.233032,1323.774658,873.399231,2815.404053
11-05-2021,664.7041626,589.8392944,1171.398315,1312.956787,876.5506592,2794.906982
12-05-2021,662.7861938,575.2348633,1168.185181,1314.570068,867.4819336,2763.580566
14-05-2021,656.7952881,577.7011108,1158.853638,1343.227905,878.432373,2731.268311
17-05-2021,682.0848999,603.1381226,1170.297607,1315.945801,888.8840332,2747.602783
18-05-2021,699.3470459,612.4231567,1179.629272,1344.936157,901.3986816,2764.654053
19-05-2021,690.5857544,604.9274902,1176.988159,1331.793457,905.5248413,2758.567139
20-05-2021,678.5567017,598.3022461,1179.012817,1337.771606,900.2424316,2738.875732
21-05-2021,709.1030884,621.3696289,1192.393921,1345.647827,908.0187988,2757.225342
24-05-2021,715.0938721,626.1088257,1186.715942,1369.561157,900.3557739,2758.120117
25-05-2021,700.4126587,628.9620361,1198.644165,1376.86792,890.1536865,2800.843262
26-05-2021,699.5128784,631.0899048,1230.027588,1397.697388,893.2822266,2840.868164
27-05-2021,702.1650391,630.8480835,1234.429199,1407.139282,896.0255737,2860.206543
28-05-2021,712.015686,621.9499512,1236.894043,1402.631714,949.8478394,2827.466309
31-05-2021,717.8881226,641.00354,1240.186401,1392.762817,979.5475464,2841.452148
01-06-2021,715.9226074,628.7686157,1234.35791,1399.358154,983.4470215,2835.920898
02-06-2021,712.276062,627.0760498,1226.750244,1395.941895,998.1155396,2814.739014
03-06-2021,720.1138916,628.9137573,1236.538208,1433.709839,1001.924377,2825.353027
04-06-2021,710.831604,621.6115112,1232.97876,1459.046387,993.2411499,2827.601563
07-06-2021,710.3106689,626.9309082,1236.538208,1478.262451,1009.972778,2863.084473
08-06-2021,702.3544922,621.3213501,1257.270752,1470.054321,1004.168884,2878.329834
09-06-2021,701.052124,615.2280273,1259.362061,1441.728271,986.2130127,2878.419678
10-06-2021,701.4072266,619.3869629,1267.370361,1442.107788,989.8404541,2893.305176
